NO,ASAL_KAB_KOTA_KEC,ASAL_ID_KANTOR,ASAL_KPRK,TUJUAN_KAB_KOTA_KEC,TUJUAN_ID_KANTOR,TUJUAN_KPRK,PAKET_POS_lebih2sd3Kg_Rp,PAKET_POS_perKg_Berikutnya_Rp,HALAMAN_PDF
102636,Dayamurni,34592,34500,Batam,29400,29400,31500.0,31500.0,5700
103239,Dwiwargatungg aljaya,34595,34500,Batam,29400,29400,34500.0,34500.0,5734
103842,Simpangpemata ng,34598,34500,Batam,29400,29400,34500.0,34500.0,5767
104445,Bandarlampung,35000,35000,Batam,29400,29400,24000.0,24000.0,5801
105048,Gedongtataan,35371,35000,Batam,29400,29400,26000.0,26000.0,5834
105651,Gadingrejo,35372,35000,Batam,29400,29400,26000.0,26000.0,5868
106254,Ambarawalamp ung,35376,35000,Batam,29400,29400,26000.0,26000.0,5901
106857,Gisting,35378,35000,Batam,29400,29400,29000.0,29000.0,5935
107460,Bakauheni,35592,35000,Batam,29400,29400,29000.0,29000.0,5968
108063,Jambi,36000,36000,Batam,29400,29400,30000.0,30000.0,6002
108666,Kumpeh,36371,36000,Batam,29400,29400,35000.0,35000.0,6035
109269,Kualatungkal,36500,36000,Batam,29400,29400,35000.0,35000.0,6069
109872,Dendang,36563,36000,Batam,29400,29400,35000.0,35000.0,6102
110475,Bajubang,36652,36000,Batam,29400,29400,35000.0,35000.0,6136
111078,Sungaipenuh,37100,37100,Batam,29400,29400,37500.0,37500.0,6169
111681,Hiang,37171,37100,Batam,29400,29400,39500.0,39500.0,6203
112284,Muarabungo,37200,37200,Batam,29400,29400,35000.0,35000.0,6236
112887,Alaiilir,37256,37200,Batam,29400,29400,37000.0,37000.0,6270
113490,Bangko,37300,37200,Batam,29400,29400,40000.0,40000.0,6303
114093,Limun,37383,37200,Batam,29400,29400,40000.0,40000.0,6337
114696,Bengkulu,38000,38000,Batam,29400,29400,37000.0,37000.0,6370
115299,Lubukpinang,38367,38000,Batam,29400,29400,42000.0,42000.0,6404
115902,Airsebakul,38381,38000,Batam,29400,29400,39000.0,39000.0,6437
116505,Kedurang,38557,38000,Batam,29400,29400,42000.0,42000.0,6471
117108,Bintuhan,38563,38000,Batam,29400,29400,42000.0,42000.0,6504
117711,Cahayanegeri,38577,38000,Batam,29400,29400,42000.0,42000.0,6538
118314,Argamakmur,38600,38000,Batam,29400,29400,42000.0,42000.0,6571
118917,Curup,39100,39100,Batam,29400,29400,32500.0,32500.0,6605
119520,Muaraaman,39164,39100,Batam,29400,29400,34500.0,34500.0,6638
120123,Kepahiang,39172,39100,Batam,29400,29400,34500.0,34500.0,6672
